date,symbol,target_close,action,cash,shares,portfolio_value,buy_hold_value,predicted_action
2024-03-27 09:30:00,JFC,252.60001,BUY,0.0,385.2585066043174,97316.30262083565,105250.00416666667,BUY
2024-04-01 09:30:00,JFC,248.60001,BUY,0.0,385.2585066043174,95775.26859441838,103583.33750000001,BUY
2024-04-02 09:30:00,JFC,247.2,BUY,0.0,385.2585066043174,95235.90283258726,103000.0,BUY
2024-04-03 09:30:00,JFC,242.0,BUY,0.0,385.2585066043174,93232.55859824481,100833.33333333334,BUY
2024-04-04 09:30:00,JFC,232.60001,BUY,0.0,385.2585066043174,89611.1324887493,96916.67083333334,BUY
2024-04-05 09:30:00,JFC,230.0,BUY,0.0,385.2585066043174,88609.456518993,95833.33333333334,BUY
2024-04-08 09:30:00,JFC,236.0,BUY,0.0,385.2585066043174,90921.0075586189,98333.33333333334,BUY
2024-04-11 09:30:00,JFC,235.2,SELL,90612.80075333545,0.0,90612.80075333545,98000.0,SELL
2024-04-12 09:30:00,JFC,235.60001,SELL,90612.80075333545,0.0,90612.80075333545,98166.67083333334,SELL
2024-04-15 09:30:00,JFC,227.60001,SELL,90612.80075333545,0.0,90612.80075333545,94833.33750000001,SELL
2024-04-16 09:30:00,JFC,221.0,BUY,0.0,410.01267309201563,90612.80075333545,92083.33333333334,BUY
2024-04-17 09:30:00,JFC,223.60001,BUY,0.0,410.01267309201563,91678.83780350143,93166.67083333334,BUY
2024-04-18 09:30:00,JFC,225.0,BUY,0.0,410.01267309201563,92252.85144570352,93750.0,BUY
2024-04-19 09:30:00,JFC,220.2,SELL,90284.79061486183,0.0,90284.79061486183,91750.0,SELL
2024-04-22 09:30:00,JFC,217.0,BUY,0.0,416.05894292563056,90284.79061486183,90416.66666666667,BUY
2024-04-23 09:30:00,JFC,222.8,BUY,0.0,416.05894292563056,92697.93248383049,92833.33333333334,BUY
2024-04-24 09:30:00,JFC,232.0,SELL,96525.67475874629,0.0,96525.67475874629,96666.66666666667,SELL
2024-04-25 09:30:00,JFC,235.0,SELL,96525.67475874629,0.0,96525.67475874629,97916.66666666667,SELL
2024-04-26 09:30:00,JFC,239.0,SELL,96525.67475874629,0.0,96525.67475874629,99583.33333333334,SELL
2024-04-29 09:30:00,JFC,240.0,SELL,96525.67475874629,0.0,96525.67475874629,100000.0,SELL
2024-04-30 09:30:00,JFC,235.39999,HOLD,96525.67475874629,0.0,96525.67475874629,98083.32916666668,HOLD
2024-05-02 09:30:00,JFC,226.0,BUY,0.0,427.10475556967384,96525.67475874629,94166.66666666667,BUY
2024-05-03 09:30:00,JFC,219.0,BUY,0.0,427.10475556967384,93535.94146975857,91250.0,BUY
2024-05-06 09:30:00,JFC,219.0,BUY,0.0,427.10475556967384,93535.94146975857,91250.0,BUY
2024-05-07 09:30:00,JFC,223.0,BUY,0.0,427.10475556967384,95244.36049203726,92916.66666666667,BUY
2024-05-08 09:30:00,JFC,221.8,BUY,0.0,427.10475556967384,94731.83478535367,92416.66666666667,BUY
2024-05-09 09:30:00,JFC,219.8,BUY,0.0,427.10475556967384,93877.62527421431,91583.33333333334,BUY
2024-05-10 09:30:00,JFC,222.0,HOLD,0.0,427.10475556967384,94817.25573646759,92500.0,HOLD
2024-05-13 09:30:00,JFC,218.8,SELL,93450.52051864464,0.0,93450.52051864464,91166.66666666667,SELL
2024-05-14 09:30:00,JFC,219.2,SELL,93450.52051864464,0.0,93450.52051864464,91333.33333333333,SELL
2024-05-15 09:30:00,JFC,222.0,SELL,93450.52051864464,0.0,93450.52051864464,92500.0,SELL
2024-05-16 09:30:00,JFC,224.0,SELL,93450.52051864464,0.0,93450.52051864464,93333.33333333334,SELL
2024-05-17 09:30:00,JFC,226.0,HOLD,93450.52051864464,0.0,93450.52051864464,94166.66666666667,HOLD
2024-05-20 09:30:00,JFC,230.0,HOLD,93450.52051864464,0.0,93450.52051864464,95833.33333333334,HOLD
2024-05-21 09:30:00,JFC,230.0,SELL,93450.52051864464,0.0,93450.52051864464,95833.33333333334,SELL
2024-05-22 09:30:00,JFC,229.39999,HOLD,93450.52051864464,0.0,93450.52051864464,95583.32916666668,HOLD
2024-05-23 09:30:00,JFC,229.0,HOLD,93450.52051864464,0.0,93450.52051864464,95416.66666666667,HOLD
2024-05-24 09:30:00,JFC,230.0,HOLD,93450.52051864464,0.0,93450.52051864464,95833.33333333334,HOLD
2024-05-27 09:30:00,JFC,229.8,HOLD,93450.52051864464,0.0,93450.52051864464,95750.00000000001,HOLD
2024-05-28 09:30:00,JFC,220.2,HOLD,93450.52051864464,0.0,93450.52051864464,91750.0,HOLD
2024-05-29 09:30:00,JFC,221.0,BUY,0.0,422.85303402101647,93450.52051864464,92083.33333333334,BUY
2024-05-30 09:30:00,JFC,216.0,BUY,0.0,422.85303402101647,91336.25534853956,90000.0,BUY
2024-05-31 09:30:00,JFC,216.39999,BUY,0.0,422.85303402101647,91505.39233361762,90166.6625,BUY
2024-06-03 09:30:00,JFC,224.0,BUY,0.0,422.85303402101647,94719.0796207077,93333.33333333334,BUY
2024-06-04 09:30:00,JFC,223.60001,BUY,0.0,422.85303402101647,94549.94263562962,93166.67083333334,BUY
2024-06-05 09:30:00,JFC,223.0,SELL,94296.22658668667,0.0,94296.22658668667,92916.66666666667,SELL
2024-06-06 09:30:00,JFC,228.8,HOLD,94296.22658668667,0.0,94296.22658668667,95333.33333333334,HOLD
2024-06-07 09:30:00,JFC,230.0,SELL,94296.22658668667,0.0,94296.22658668667,95833.33333333334,SELL
2024-06-10 09:30:00,JFC,228.60001,HOLD,94296.22658668667,0.0,94296.22658668667,95250.00416666667,HOLD
2024-06-11 09:30:00,JFC,230.0,HOLD,94296.22658668667,0.0,94296.22658668667,95833.33333333334,HOLD
2024-06-13 09:30:00,JFC,222.2,HOLD,94296.22658668667,0.0,94296.22658668667,92583.33333333333,HOLD
2024-06-14 09:30:00,JFC,219.0,BUY,0.0,430.5763771081583,94296.22658668667,91250.0,BUY
2024-06-18 09:30:00,JFC,223.8,BUY,0.0,430.5763771081583,96362.99319680582,93250.00000000001,BUY
2024-06-19 09:30:00,JFC,223.0,BUY,0.0,430.5763771081583,96018.5320951193,92916.66666666667,BUY
2024-06-20 09:30:00,JFC,217.2,HOLD,0.0,430.5763771081583,93521.18910789197,90500.0,HOLD
2024-06-21 09:30:00,JFC,211.0,BUY,0.0,430.5763771081583,90851.6155698214,87916.66666666667,BUY
2024-06-24 09:30:00,JFC,218.0,BUY,0.0,430.5763771081583,93865.65020957851,90833.33333333334,BUY
2024-06-25 09:30:00,JFC,218.0,SELL,93865.65020957851,0.0,93865.65020957851,90833.33333333334,SELL
2024-06-26 09:30:00,JFC,223.0,HOLD,93865.65020957851,0.0,93865.65020957851,92916.66666666667,HOLD
2024-06-27 09:30:00,JFC,224.0,SELL,93865.65020957851,0.0,93865.65020957851,93333.33333333334,SELL
2024-06-28 09:30:00,JFC,226.0,SELL,93865.65020957851,0.0,93865.65020957851,94166.66666666667,SELL
2024-07-01 09:30:00,JFC,225.2,SELL,93865.65020957851,0.0,93865.65020957851,93833.33333333333,SELL
2024-07-02 09:30:00,JFC,226.2,HOLD,93865.65020957851,0.0,93865.65020957851,94250.0,HOLD
2024-07-03 09:30:00,JFC,230.2,SELL,93865.65020957851,0.0,93865.65020957851,95916.66666666667,SELL
2024-07-04 09:30:00,JFC,231.39999,HOLD,93865.65020957851,0.0,93865.65020957851,96416.6625,HOLD
2024-07-05 09:30:00,JFC,234.0,HOLD,93865.65020957851,0.0,93865.65020957851,97500.0,HOLD
2024-07-08 09:30:00,JFC,233.0,HOLD,93865.65020957851,0.0,93865.65020957851,97083.33333333334,HOLD
2024-07-09 09:30:00,JFC,230.8,HOLD,93865.65020957851,0.0,93865.65020957851,96166.66666666667,HOLD
2024-07-10 09:30:00,JFC,222.0,HOLD,93865.65020957851,0.0,93865.65020957851,92500.0,HOLD
2024-07-11 09:30:00,JFC,227.2,BUY,0.0,413.14106606328573,93865.65020957851,94666.66666666667,BUY
2024-07-12 09:30:00,JFC,227.39999,BUY,0.0,413.14106606328573,93948.27429138051,94749.99583333333,BUY
2024-07-15 09:30:00,JFC,230.0,HOLD,0.0,413.14106606328573,95022.44519455572,95833.33333333334,HOLD
2024-07-16 09:30:00,JFC,230.0,HOLD,0.0,413.14106606328573,95022.44519455572,95833.33333333334,HOLD
2024-07-17 09:30:00,JFC,231.0,HOLD,0.0,413.14106606328573,95435.586260619,96250.0,HOLD
2024-07-18 09:30:00,JFC,231.2,HOLD,0.0,413.14106606328573,95518.21447383166,96333.33333333333,HOLD
2024-07-19 09:30:00,JFC,229.39999,HOLD,0.0,413.14106606328573,94774.55642350709,95583.32916666668,HOLD
2024-07-22 09:30:00,JFC,228.0,HOLD,0.0,413.14106606328573,94196.16306242914,95000.0,HOLD
2024-07-23 09:30:00,JFC,229.0,HOLD,0.0,413.14106606328573,94609.30412849244,95416.66666666667,HOLD
2024-07-25 09:30:00,JFC,225.0,HOLD,0.0,413.14106606328573,92956.7398642393,93750.0,HOLD
2024-07-26 09:30:00,JFC,228.0,BUY,0.0,413.14106606328573,94196.16306242914,95000.0,BUY
2024-07-29 09:30:00,JFC,227.60001,BUY,0.0,413.14106606328573,94030.91076741449,94833.33750000001,BUY
2024-07-30 09:30:00,JFC,227.0,HOLD,0.0,413.14106606328573,93783.02199636586,94583.33333333334,HOLD
2024-07-31 09:30:00,JFC,230.0,HOLD,0.0,413.14106606328573,95022.44519455572,95833.33333333334,HOLD
2024-08-01 09:30:00,JFC,232.8,HOLD,0.0,413.14106606328573,96179.24017953292,97000.00000000001,HOLD
2024-08-02 09:30:00,JFC,229.39999,SELL,94774.55642350709,0.0,94774.55642350709,95583.32916666668,SELL
2024-08-05 09:30:00,JFC,222.0,HOLD,94774.55642350709,0.0,94774.55642350709,92500.0,HOLD
2024-08-06 09:30:00,JFC,226.0,BUY,0.0,419.3564443518013,94774.55642350709,94166.66666666667,BUY
2024-08-07 09:30:00,JFC,226.8,BUY,0.0,419.3564443518013,95110.04157898854,94500.00000000001,BUY
2024-08-08 09:30:00,JFC,229.0,HOLD,0.0,419.3564443518013,96032.6257565625,95416.66666666667,HOLD
2024-08-09 09:30:00,JFC,231.0,HOLD,0.0,419.3564443518013,96871.3386452661,96250.0,HOLD
2024-08-12 09:30:00,JFC,231.0,HOLD,0.0,419.3564443518013,96871.3386452661,96250.0,HOLD
2024-08-13 09:30:00,JFC,234.60001,SELL,98381.02603849703,0.0,98381.02603849703,97750.00416666667,SELL
2024-08-14 09:30:00,JFC,241.60001,HOLD,98381.02603849703,0.0,98381.02603849703,100666.67083333334,HOLD
2024-08-15 09:30:00,JFC,244.0,HOLD,98381.02603849703,0.0,98381.02603849703,101666.66666666667,HOLD
2024-08-16 09:30:00,JFC,252.2,HOLD,98381.02603849703,0.0,98381.02603849703,105083.33333333333,HOLD
2024-08-19 09:30:00,JFC,248.0,SELL,98381.02603849703,0.0,98381.02603849703,103333.33333333334,SELL
2024-08-20 09:30:00,JFC,245.8,BUY,0.0,400.24827517696104,98381.02603849703,102416.66666666667,BUY
